0 	 0.7171	 
1 	 0.6654	 
2 	 0.6389	 
3 	 0.6209	 
4 	 0.6057	 
5 	 0.5968	 
6 	 0.5882	 
7 	 0.5825	 
8 	 0.5764	 
9 	 0.5702	 
10 	 0.5644	 
11 	 0.5617	 
12 	 0.5570	 
13 	 0.5543	 
14 	 0.5511	 
15 	 0.5477	 
16 	 0.5452	 
17 	 0.5430	 
18 	 0.5393	 
19 	 0.5383	 
20 	 0.5379	 
21 	 0.5363	 
22 	 0.5355	 
23 	 0.5331	 
24 	 0.5313	 
25 	 0.5293	 
26 	 0.5292	 
27 	 0.5285	 
28 	 0.5276	 
29 	 0.5259	 
30 	 0.5254	 
31 	 0.5225	 
32 	 0.5204	 
33 	 0.5195	 
34 	 0.5184	 
35 	 0.5163	 
36 	 0.5148	 
37 	 0.5138	 
38 	 0.5139	 
39 	 0.5118	 
40 	 0.5112	 
41 	 0.5095	 
42 	 0.5069	 
43 	 0.5067	 
44 	 0.5059	 
45 	 0.5033	 
46 	 0.5027	 
47 	 0.5026	 
48 	 0.5022	 
49 	 0.5010	 
50 	 0.4987	 
51 	 0.4970	 
52 	 0.4958	 
53 	 0.4957	 
54 	 0.4930	 
55 	 0.4933	 
56 	 0.4914	 
57 	 0.4902	 
58 	 0.4886	 
59 	 0.4863	 
60 	 0.4849	 
61 	 0.4825	 
62 	 0.4806	 
63 	 0.4814	 
64 	 0.4801	 
65 	 0.4798	 
66 	 0.4790	 
67 	 0.4780	 
68 	 0.4752	 
69 	 0.4746	 
70 	 0.4748	 
71 	 0.4742	 
72 	 0.4727	 
73 	 0.4700	 
74 	 0.4683	 
75 	 0.4670	 
76 	 0.4651	 
77 	 0.4640	 
78 	 0.4618	 
79 	 0.4602	 
80 	 0.4579	 
81 	 0.4559	 
82 	 0.4541	 
83 	 0.4514	 
84 	 0.4483	 
85 	 0.4457	 
86 	 0.4431	 
87 	 0.4403	 
88 	 0.4366	 
89 	 0.4330	 
90 	 0.4286	 
91 	 0.4236	 
92 	 0.4180	 
93 	 0.4109	 
94 	 0.4015	 
95 	 0.3915	 
96 	 0.3778	 
97 	 0.3604	 
98 	 0.3329	 
99 	 0.2806	 
